sig_id,cell_id,pert_id,pert_dose
REP.A014_MCF7_24H:H19,MCF7,BRD-K60585088,10.0
REP.A014_MCF7_24H:H20,MCF7,BRD-K60585088,3.33333
REP.A014_MCF7_24H:H21,MCF7,BRD-K60585088,1.11111
REP.A014_MCF7_24H:H22,MCF7,BRD-K60585088,0.37037
REP.A014_MCF7_24H:H23,MCF7,BRD-K60585088,0.123457
REP.A009_PC3_24H:D01,PC3,BRD-K28456624,10.0
REP.A009_PC3_24H:D02,PC3,BRD-K28456624,3.33333
REP.A009_PC3_24H:D03,PC3,BRD-K28456624,1.11111
REP.A009_PC3_24H:D04,PC3,BRD-K28456624,0.37037
REP.A009_PC3_24H:D05,PC3,BRD-K28456624,0.123457
REP.A009_PC3_24H:D06,PC3,BRD-K28456624,0.0411523
REP.A014_HA1E_24H:H19,HA1E,BRD-K60585088,10.0
REP.A014_HA1E_24H:H20,HA1E,BRD-K60585088,3.33333
REP.A009_A549_24H:D05,A549,BRD-K28456624,0.123457
REP.A009_A549_24H:D06,A549,BRD-K28456624,0.0411523
REP.A009_HA1E_24H:D01,HA1E,BRD-K28456624,10.0
REP.A009_HA1E_24H:D02,HA1E,BRD-K28456624,3.33333
REP.A009_HA1E_24H:D03,HA1E,BRD-K28456624,1.11111
REP.A009_HA1E_24H:D04,HA1E,BRD-K28456624,0.37037
REP.A009_HA1E_24H:D05,HA1E,BRD-K28456624,0.123457
REP.A009_HA1E_24H:D06,HA1E,BRD-K28456624,0.0411523
REP.A021_MCF7_24H:D04,MCF7,BRD-K81332461,0.37037
REP.A021_MCF7_24H:D05,MCF7,BRD-K81332461,0.123457
REP.A021_MCF7_24H:D06,MCF7,BRD-K81332461,0.0411523
REP.A021_MCF7_24H:J19,MCF7,BRD-K84163249,10.0
REP.A021_MCF7_24H:J20,MCF7,BRD-K84163249,3.33333
REP.A021_MCF7_24H:J21,MCF7,BRD-K84163249,1.11111
REP.A021_MCF7_24H:J22,MCF7,BRD-K84163249,0.37037
REP.A021_MCF7_24H:J23,MCF7,BRD-K84163249,0.123457
REP.A021_HA1E_24H:J19,HA1E,BRD-K84163249,10.0
REP.A021_HA1E_24H:J20,HA1E,BRD-K84163249,3.33333
REP.A021_HA1E_24H:J22,HA1E,BRD-K84163249,0.37037
REP.A021_HA1E_24H:J23,HA1E,BRD-K84163249,0.123457
REP.A021_HA1E_24H:J24,HA1E,BRD-K84163249,0.0411523
REP.A021_MCF7_24H:D01,MCF7,BRD-K81332461,10.0
REP.A021_MCF7_24H:D02,MCF7,BRD-K81332461,3.33333
REP.A021_MCF7_24H:D03,MCF7,BRD-K81332461,1.11111
REP.A021_A549_24H:J23,A549,BRD-K84163249,0.123457
REP.A021_A549_24H:J24,A549,BRD-K84163249,0.0411523
REP.A021_HA1E_24H:D01,HA1E,BRD-K81332461,10.0
REP.A021_HA1E_24H:D02,HA1E,BRD-K81332461,3.33333
REP.A021_HA1E_24H:D03,HA1E,BRD-K81332461,1.11111
REP.A021_HA1E_24H:D04,HA1E,BRD-K81332461,0.37037
REP.A021_HA1E_24H:D05,HA1E,BRD-K81332461,0.123457
REP.A021_HA1E_24H:D06,HA1E,BRD-K81332461,0.0411523
REP.A021_A549_24H:D03,A549,BRD-K81332461,1.11111
REP.A021_A549_24H:D04,A549,BRD-K81332461,0.37037
REP.A021_A549_24H:D05,A549,BRD-K81332461,0.123457
REP.A021_A549_24H:D06,A549,BRD-K81332461,0.0411523
REP.A021_A549_24H:J19,A549,BRD-K84163249,10.0
REP.A021_A549_24H:J20,A549,BRD-K84163249,3.33333
REP.A021_A549_24H:J21,A549,BRD-K84163249,1.11111
REP.A021_A549_24H:J22,A549,BRD-K84163249,0.37037
REP.A001_HA1E_24H:I16,HA1E,BRD-K28731095,0.37037
REP.A001_HA1E_24H:I17,HA1E,BRD-K28731095,0.123457
REP.A001_HA1E_24H:I18,HA1E,BRD-K28731095,0.0411523
REP.A001_MCF7_24H:I14,MCF7,BRD-K28731095,3.33333
REP.A001_MCF7_24H:I15,MCF7,BRD-K28731095,1.11111
REP.A001_MCF7_24H:I16,MCF7,BRD-K28731095,0.37037
REP.A001_MCF7_24H:I17,MCF7,BRD-K28731095,0.123457
REP.A001_MCF7_24H:I18,MCF7,BRD-K28731095,0.0411523
MUC.CP008_MCF7_24H:H19,MCF7,BRD-K81332461,5.0
MUC.CP008_MCF7_24H:H20,MCF7,BRD-K81332461,1.66667
MUC.CP008_MCF7_24H:H21,MCF7,BRD-K81332461,0.555556
MUC.CP008_MCF7_24H:H22,MCF7,BRD-K81332461,0.185185
MUC.CP008_MCF7_24H:H23,MCF7,BRD-K81332461,0.0617284
REP.A001_HA1E_24H:I13,HA1E,BRD-K28731095,10.0
REP.A001_HA1E_24H:I14,HA1E,BRD-K28731095,3.33333
REP.A001_HA1E_24H:I15,HA1E,BRD-K28731095,1.11111
REP.A021_PC3_24H:J20,PC3,BRD-K84163249,3.33333
REP.A021_PC3_24H:J21,PC3,BRD-K84163249,1.11111
REP.A021_PC3_24H:J22,PC3,BRD-K84163249,0.37037
REP.A021_PC3_24H:J23,PC3,BRD-K84163249,0.123457
REP.A021_PC3_24H:J24,PC3,BRD-K84163249,0.0411523
REP.A022_A549_24H:L01,A549,BRD-K73237276,10.0
REP.A022_A549_24H:L02,A549,BRD-K73237276,3.33333
REP.A022_A549_24H:L03,A549,BRD-K73237276,1.11111
REP.A021_MCF7_24H:J24,MCF7,BRD-K84163249,0.0411523
REP.A021_PC3_24H:D01,PC3,BRD-K81332461,10.0
REP.A021_PC3_24H:D02,PC3,BRD-K81332461,3.33333
REP.A021_PC3_24H:D03,PC3,BRD-K81332461,1.11111
REP.A021_PC3_24H:D04,PC3,BRD-K81332461,0.37037
REP.A021_PC3_24H:D05,PC3,BRD-K81332461,0.123457
REP.A021_PC3_24H:D06,PC3,BRD-K81332461,0.0411523
REP.A021_PC3_24H:J19,PC3,BRD-K84163249,10.0
REP.B001_HA1E_24H:I13,HA1E,BRD-K28731095,2.30769
REP.B001_HA1E_24H:I14,HA1E,BRD-K28731095,0.769231
REP.B001_HA1E_24H:I15,HA1E,BRD-K28731095,0.25641
REP.B001_HA1E_24H:I16,HA1E,BRD-K28731095,0.0854701
REP.B001_HA1E_24H:I17,HA1E,BRD-K28731095,0.02849
REP.B001_HA1E_24H:I18,HA1E,BRD-K28731095,0.00949668
REP.B001_PC3_24H:I14,PC3,BRD-K28731095,0.769231
REP.B001_PC3_24H:I15,PC3,BRD-K28731095,0.25641
REP.A022_MCF7_24H:L05,MCF7,BRD-K73237276,0.123457
REP.A022_MCF7_24H:L06,MCF7,BRD-K73237276,0.0411523
REP.A022_PC3_24H:L01,PC3,BRD-K73237276,10.0
REP.A022_PC3_24H:L02,PC3,BRD-K73237276,3.33333
REP.A022_PC3_24H:L03,PC3,BRD-K73237276,1.11111
REP.A022_PC3_24H:L04,PC3,BRD-K73237276,0.37037
REP.A022_PC3_24H:L05,PC3,BRD-K73237276,0.123457
REP.A022_PC3_24H:L06,PC3,BRD-K73237276,0.0411523
REP.A022_A549_24H:L04,A549,BRD-K73237276,0.37037
REP.A022_A549_24H:L05,A549,BRD-K73237276,0.123457
REP.A022_A549_24H:L06,A549,BRD-K73237276,0.0411523
REP.A022_HA1E_24H:L06,HA1E,BRD-K73237276,0.0411523
REP.A022_MCF7_24H:L01,MCF7,BRD-K73237276,10.0
REP.A022_MCF7_24H:L02,MCF7,BRD-K73237276,3.33333
REP.A022_MCF7_24H:L03,MCF7,BRD-K73237276,1.11111
REP.A022_MCF7_24H:L04,MCF7,BRD-K73237276,0.37037
REP.A001_PC3_24H:I13,PC3,BRD-K28731095,10.0
REP.A001_PC3_24H:I14,PC3,BRD-K28731095,3.33333
REP.A001_PC3_24H:I15,PC3,BRD-K28731095,1.11111
REP.A001_PC3_24H:I16,PC3,BRD-K28731095,0.37037
REP.A001_PC3_24H:I17,PC3,BRD-K28731095,0.123457
REP.A001_PC3_24H:I18,PC3,BRD-K28731095,0.0411523
REP.A009_A549_24H:D01,A549,BRD-K28456624,10.0
REP.A009_A549_24H:D02,A549,BRD-K28456624,3.33333
MUC.CP008_HA1E_24H:H23,HA1E,BRD-K81332461,0.0617284
MUC.CP008_HA1E_24H:H24,HA1E,BRD-K81332461,0.0205761
MUC.CP008_MCF7_24H:F07,MCF7,BRD-K28731095,10.0
MUC.CP008_MCF7_24H:F09,MCF7,BRD-K28731095,1.11111
MUC.CP008_MCF7_24H:F10,MCF7,BRD-K28731095,0.37037
MUC.CP008_MCF7_24H:F11,MCF7,BRD-K28731095,0.123457
MUC.CP008_MCF7_24H:F12,MCF7,BRD-K28731095,0.0411523
LKCP001_A549_24H:F08,A549,BRD-K84163249,1.0
MUC.CP008_HA1E_24H:F08,HA1E,BRD-K28731095,3.33333
MUC.CP008_HA1E_24H:F09,HA1E,BRD-K28731095,1.11111
MUC.CP008_HA1E_24H:F10,HA1E,BRD-K28731095,0.37037
MUC.CP008_HA1E_24H:F11,HA1E,BRD-K28731095,0.123457
MUC.CP008_HA1E_24H:F12,HA1E,BRD-K28731095,0.0411523
MUC.CP008_HA1E_24H:H20,HA1E,BRD-K81332461,1.66667
MUC.CP008_HA1E_24H:H21,HA1E,BRD-K81332461,0.555556
MUC.CP008_HA1E_24H:H22,HA1E,BRD-K81332461,0.185185
LKCP002_MCF7_24H:N21,MCF7,BRD-K28731095,0.05
LKCP002_U2OS_24H:N19,U2OS,BRD-K28731095,5.0
LKCP002_U2OS_24H:N20,U2OS,BRD-K28731095,0.5
LKCP002_U2OS_24H:N21,U2OS,BRD-K28731095,0.05
MOAR002_PC3_24H:B22,PC3,BRD-A84327315,10.0
MOAR002_PC3_24H:B23,PC3,BRD-A84327315,3.33333
MOAR002_PC3_24H:B24,PC3,BRD-A84327315,1.11111
MUC.CP008_HA1E_24H:F07,HA1E,BRD-K28731095,10.0
REP.B001_PC3_24H:I16,PC3,BRD-K28731095,0.0854701
REP.B001_PC3_24H:I17,PC3,BRD-K28731095,0.02849
REP.B001_PC3_24H:I18,PC3,BRD-K28731095,0.00949668
LKCP002_A549_24H:N19,A549,BRD-K28731095,5.0
LKCP002_A549_24H:N20,A549,BRD-K28731095,0.5
LKCP002_A549_24H:N21,A549,BRD-K28731095,0.05
LKCP002_MCF7_24H:N19,MCF7,BRD-K28731095,5.0
LKCP002_MCF7_24H:N20,MCF7,BRD-K28731095,0.5
CRCGN004_PC3_24H:BRD-A66229260-001-01-6:10,PC3,BRD-A66229260,10.0
LKCP001_A549_24H:E19,A549,BRD-K28731095,5.0
LKCP001_A549_24H:E20,A549,BRD-K28731095,0.5
LKCP001_A549_24H:E21,A549,BRD-K28731095,0.05
LKCP001_A549_24H:F07,A549,BRD-K84163249,10.0
ASG002_A549_24H:A24,A549,BRD-K56429665,0.1
ASG002_A549_24H:A23,A549,BRD-K56429665,1.0
ASG002_A549_24H:O08,A549,BRD-K27316855,1.0
CPD002_PC3_24H:BRD-K96390176-001-01-1:10,PC3,BRD-K96390176,10.0
CRCGN001_HA1E_24H:BRD-A31158127-001-01-2:10,HA1E,BRD-A31158127,10.0
CRCGN001_HA1E_24H:BRD-A66229260-001-01-6:10,HA1E,BRD-A66229260,10.0
CRCGN004_HA1E_24H:BRD-A31158127-001-01-2:10,HA1E,BRD-A31158127,10.0
CRCGN004_HA1E_24H:BRD-A31158127-001-01-2:10UM,HA1E,BRD-A31158127,10.0
CRCGN004_HA1E_24H:BRD-A66229260-001-01-6:10,HA1E,BRD-A66229260,10.0
CRCGN004_HA1E_24H:BRD-A66229260-001-01-6:10UM,HA1E,BRD-A66229260,10.0
CRCGN004_PC3_24H:BRD-A31158127-001-01-2:10,PC3,BRD-A31158127,10.0
CPC011_A549_24H:BRD-K27316855-001-09-1:10,A549,BRD-K27316855,10.0
CPC011_A549_24H:BRD-K56429665-001-06-2:10,A549,BRD-K56429665,10.0
CPC011_PC3_24H:BRD-K27316855-001-09-1:10,PC3,BRD-K27316855,10.0
CPC011_PC3_24H:BRD-K56429665-001-06-2:10,PC3,BRD-K56429665,10.0
CPC014_A549_24H:BRD-A84327315-001-01-1:10,A549,BRD-A84327315,10.0
CPC014_MCF7_24H:BRD-A84327315-001-01-1:10,MCF7,BRD-A84327315,10.0
CPC014_PC3_24H:BRD-A84327315-001-01-1:10,PC3,BRD-A84327315,10.0
CPD002_MCF7_24H:BRD-K96390176-001-01-1:10,MCF7,BRD-K96390176,10.0
CPC005_A549_24H:BRD-K56429665-001-03-9:10,A549,BRD-K56429665,10.0
CPC005_HA1E_24H:BRD-K56429665-001-03-9:10,HA1E,BRD-K56429665,10.0
CPC005_MCF7_24H:BRD-K56429665-001-03-9:10,MCF7,BRD-K56429665,10.0
CPC005_PC3_24H:BRD-K56429665-001-03-9:10,PC3,BRD-K56429665,10.0
CPC006_A549_24H:BRD-K27316855-001-02-6:1,A549,BRD-K27316855,1.0
CPC006_HA1E_24H:I03,HA1E,BRD-K27316855,1.0
CPC006_MCF7_24H:I03,MCF7,BRD-K27316855,1.0
CPC006_PC3_24H:I03,PC3,BRD-K27316855,1.0
ASG003_MCF7_24H:G24,MCF7,BRD-K27316855,0.1
ASG003_U2OS_24H:G19,U2OS,BRD-K56429665,10.0001
ASG003_U2OS_24H:G20,U2OS,BRD-K56429665,1.00001
ASG003_U2OS_24H:G21,U2OS,BRD-K56429665,0.100001
ASG003_U2OS_24H:G22,U2OS,BRD-K27316855,10.0
ASG003_U2OS_24H:G23,U2OS,BRD-K27316855,1.0
REP.A009_A549_24H:D03,A549,BRD-K28456624,1.11111
REP.A009_A549_24H:D04,A549,BRD-K28456624,0.37037
ASG003_A549_24H:G22,A549,BRD-K27316855,10.0
ASG003_A549_24H:G23,A549,BRD-K27316855,1.0
ASG003_A549_24H:G24,A549,BRD-K27316855,0.1
ASG003_MCF7_24H:G19,MCF7,BRD-K56429665,10.0001
ASG003_MCF7_24H:G20,MCF7,BRD-K56429665,1.00001
ASG003_MCF7_24H:G21,MCF7,BRD-K56429665,0.100001
ASG003_MCF7_24H:G22,MCF7,BRD-K27316855,10.0
ASG003_MCF7_24H:G23,MCF7,BRD-K27316855,1.0
ASG002_PC3_24H:A23,PC3,BRD-K56429665,1.0
ASG002_PC3_24H:A24,PC3,BRD-K56429665,0.1
ASG002_PC3_24H:O07,PC3,BRD-K27316855,10.0
ASG002_PC3_24H:O08,PC3,BRD-K27316855,1.0
ASG002_PC3_24H:O09,PC3,BRD-K27316855,0.1
ASG003_A549_24H:G19,A549,BRD-K56429665,10.0001
ASG003_A549_24H:G20,A549,BRD-K56429665,1.00001
ASG003_A549_24H:G21,A549,BRD-K56429665,0.100001
ASG002_A549_24H:O09,A549,BRD-K27316855,0.1
ASG002_MCF7_24H:A22,MCF7,BRD-K56429665,10.0
ASG002_MCF7_24H:A23,MCF7,BRD-K56429665,1.0
ASG002_MCF7_24H:A24,MCF7,BRD-K56429665,0.1
ASG002_MCF7_24H:O07,MCF7,BRD-K27316855,10.0
ASG002_MCF7_24H:O08,MCF7,BRD-K27316855,1.0
ASG002_MCF7_24H:O09,MCF7,BRD-K27316855,0.1
ASG002_PC3_24H:A22,PC3,BRD-K56429665,10.0
