sig_id,pert_id,cell_id,tas,ss_ngene,distil_cc_q75,dose,pert_dose_unit,pert_time,pert_time_unit,is_exemplar_sig,is_null_sig,is_ncs_sig,qc_pass,log_dose,dose_bin,core_score
REP.B001_HA1E_24H:I16,BRD-K28731095,HA1E,0.120138,108,0.1307,0.0854701,uM,24.0,h,False,False,True,True,-1.068185787916106,low,2.0511442465653387
REP.B001_HA1E_24H:I17,BRD-K28731095,HA1E,0.118304,80,0.1711,0.02849,uM,24.0,h,False,False,True,True,-1.5453075507605232,low,1.854080164253403
REP.B001_HA1E_24H:I18,BRD-K28731095,HA1E,0.00833844,68,0.0,0.00949668,uM,24.0,h,False,False,False,True,-2.0224281957305514,low,1.4094843175752496
REP.B001_PC3_24H:I14,BRD-K28731095,PC3,0.31906,262,0.38,0.769231,uM,24.0,h,False,False,True,True,-0.11394322201851174,low,2.6045089560345867
REP.B001_PC3_24H:I15,BRD-K28731095,PC3,0.303506,301,0.2993,0.25641,uM,24.0,h,False,False,True,True,-0.5910650413211982,low,2.014227973649464
REP.A022_MCF7_24H:L05,BRD-K73237276,MCF7,0.181638,105,0.3073,0.123457,uM,24.0,h,False,False,True,True,-0.908484280578658,low,2.127637787848025
REP.A022_MCF7_24H:L06,BRD-K73237276,MCF7,0.153099,95,0.2413,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,2.27660591473225
REP.A022_PC3_24H:L01,BRD-K73237276,PC3,0.38653,272,0.5372,10.0,uM,24.0,h,True,False,True,True,1.0,high,2.915731477820296
REP.A022_PC3_24H:L02,BRD-K73237276,PC3,0.320722,191,0.5267,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,3.275778381877978
REP.A022_PC3_24H:L03,BRD-K73237276,PC3,0.319432,210,0.4752,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,low,2.7667367099881868
REP.A022_PC3_24H:L04,BRD-K73237276,PC3,0.301612,194,0.4586,0.37037,uM,24.0,h,False,False,True,True,-0.4313641984536864,low,2.3703000726543606
REP.A022_PC3_24H:L05,BRD-K73237276,PC3,0.294609,182,0.4664,0.123457,uM,24.0,h,False,False,True,True,-0.908484280578658,low,1.8033457899195133
REP.A022_PC3_24H:L06,BRD-K73237276,PC3,0.252963,144,0.4346,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,1.4631800938036204
REP.A022_A549_24H:L04,BRD-K73237276,A549,0.0663533,93,0.0463,0.37037,uM,24.0,h,False,False,True,True,-0.4313641984536864,low,2.2730680443588422
REP.A022_A549_24H:L05,BRD-K73237276,A549,0.136206,120,0.1512,0.123457,uM,24.0,h,False,False,True,True,-0.908484280578658,low,1.203271090751035
REP.A022_A549_24H:L06,BRD-K73237276,A549,0.128001,93,0.1723,0.0411523,uM,24.0,h,False,False,True,False,-1.3856058870763952,low,0.700564229351064
REP.A022_HA1E_24H:L06,BRD-K73237276,HA1E,0.136131,92,0.197,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,2.3868808156223595
REP.A022_MCF7_24H:L01,BRD-K73237276,MCF7,0.327582,234,0.4485,10.0,uM,24.0,h,False,False,True,True,1.0,high,3.224571044686969
REP.A022_MCF7_24H:L02,BRD-K73237276,MCF7,0.207615,131,0.3218,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,2.2909155517258766
REP.A022_MCF7_24H:L03,BRD-K73237276,MCF7,0.192504,109,0.3325,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,high,2.5022285971378464
REP.A022_MCF7_24H:L04,BRD-K73237276,MCF7,0.178142,121,0.2565,0.37037,uM,24.0,h,False,False,True,True,-0.4313641984536864,low,2.2762265345637807
REP.A001_PC3_24H:I13,BRD-K28731095,PC3,0.424304,303,0.5811,10.0,uM,24.0,h,False,False,True,True,1.0,high,2.55301850610859
REP.A001_PC3_24H:I14,BRD-K28731095,PC3,0.4075,288,0.5639,3.33333,uM,24.0,h,True,False,True,True,0.5228783109856385,high,2.438586025985463
REP.A001_PC3_24H:I15,BRD-K28731095,PC3,0.344568,283,0.4103,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,low,2.3444783971275607
REP.A001_PC3_24H:I16,BRD-K28731095,PC3,0.348696,257,0.4627,0.37037,uM,24.0,h,False,False,True,True,-0.4313641984536864,low,2.2708421257143536
REP.A001_PC3_24H:I17,BRD-K28731095,PC3,0.285659,235,0.3396,0.123457,uM,24.0,h,False,False,True,True,-0.908484280578658,low,1.5002286286951443
REP.A001_PC3_24H:I18,BRD-K28731095,PC3,0.242559,194,0.2966,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,1.6088382145763747
REP.A009_A549_24H:D01,BRD-K28456624,A549,0.219239,185,0.2541,10.0,uM,24.0,h,False,False,True,True,1.0,high,2.0531930056121515
REP.A009_A549_24H:D02,BRD-K28456624,A549,0.128233,85,0.1892,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,1.456707703905293
MUC.CP008_HA1E_24H:H23,BRD-K81332461,HA1E,0.114134,98,0.13,0.0617284,uM,24.0,h,False,False,True,True,-1.2095149797990739,low,1.3984418417728315
MUC.CP008_HA1E_24H:H24,BRD-K81332461,HA1E,0.267916,234,0.3,0.0205761,uM,24.0,h,False,False,True,True,-1.6866369380763104,low,0.84500679302695
MUC.CP008_MCF7_24H:F07,BRD-K28731095,MCF7,0.327537,244,0.43,10.0,uM,24.0,h,True,False,True,True,1.0,high,3.194055163888798
MUC.CP008_MCF7_24H:F09,BRD-K28731095,MCF7,0.177116,118,0.26,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,high,2.46980247724509
MUC.CP008_MCF7_24H:F10,BRD-K28731095,MCF7,0.185464,116,0.29,0.37037,uM,24.0,h,False,False,True,True,-0.4313641984536864,low,1.620311976695862
MUC.CP008_MCF7_24H:F11,BRD-K28731095,MCF7,0.147647,82,0.26,0.123457,uM,24.0,h,False,False,True,True,-0.908484280578658,low,1.9698669713738217
MUC.CP008_MCF7_24H:F12,BRD-K28731095,MCF7,0.137462,77,0.24,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,1.4693231897110568
LKCP001_A549_24H:F08,BRD-K84163249,A549,0.0969599,72,0.1277,1.0,uM,24.0,h,False,False,True,True,0.0,low,1.4292767917064162
MUC.CP008_HA1E_24H:F08,BRD-K28731095,HA1E,0.0841777,63,0.11,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,1.7112312338884363
MUC.CP008_HA1E_24H:F09,BRD-K28731095,HA1E,0.167717,131,0.21,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,high,2.0401793459671467
MUC.CP008_HA1E_24H:F10,BRD-K28731095,HA1E,0.105085,60,0.18,0.37037,uM,24.0,h,False,False,True,True,-0.4313641984536864,low,1.2391107662705647
MUC.CP008_HA1E_24H:F11,BRD-K28731095,HA1E,0.0813988,81,0.08,0.123457,uM,24.0,h,False,False,True,True,-0.908484280578658,low,2.380111613734915
MUC.CP008_HA1E_24H:F12,BRD-K28731095,HA1E,0.071787,63,0.08,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,1.5442623269390197
MUC.CP008_HA1E_24H:H20,BRD-K81332461,HA1E,0.0682082,65,0.07,1.66667,uM,24.0,h,False,False,True,True,0.22184961820445162,high,1.342425171944644
MUC.CP008_HA1E_24H:H21,BRD-K81332461,HA1E,0.113415,74,0.17,0.555556,uM,24.0,h,False,False,True,True,-0.2552721576678595,low,1.9007190732012875
MUC.CP008_HA1E_24H:H22,BRD-K81332461,HA1E,0.0676814,64,0.07,0.185185,uM,24.0,h,False,False,True,True,-0.7323941941176676,low,1.88711436636942
LKCP002_MCF7_24H:N21,BRD-K28731095,MCF7,0.141976,144,0.1369,0.05,uM,24.0,h,False,False,True,True,-1.3010299956639813,low,2.5054462587670105
LKCP002_U2OS_24H:N19,BRD-K28731095,U2OS,0.164348,147,0.1797,5.0,uM,24.0,h,False,False,True,True,0.6989700043360189,high,1.852126720401778
LKCP002_U2OS_24H:N20,BRD-K28731095,U2OS,0.189517,163,0.2155,0.5,uM,24.0,h,False,False,True,True,-0.3010299956639812,low,1.7328783208648806
LKCP002_U2OS_24H:N21,BRD-K28731095,U2OS,0.153207,120,0.1913,0.05,uM,24.0,h,False,False,True,True,-1.3010299956639813,low,1.818761568423779
MOAR002_PC3_24H:B22,BRD-A84327315,PC3,0.350285,250,0.48,10.0,uM,24.0,h,True,False,True,True,1.0,high,2.528056620059647
MOAR002_PC3_24H:B23,BRD-A84327315,PC3,0.329559,226,0.47,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,2.5302731758368293
MOAR002_PC3_24H:B24,BRD-A84327315,PC3,0.348074,289,0.41,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,low,2.0711115858768943
MUC.CP008_HA1E_24H:F07,BRD-K28731095,HA1E,0.179496,137,0.23,10.0,uM,24.0,h,True,False,True,True,1.0,high,2.6669567333020376
REP.B001_PC3_24H:I16,BRD-K28731095,PC3,0.296478,294,0.2924,0.0854701,uM,24.0,h,False,False,True,True,-1.068185787916106,low,2.6148764672020413
REP.B001_PC3_24H:I17,BRD-K28731095,PC3,0.176856,175,0.1748,0.02849,uM,24.0,h,False,False,True,True,-1.5453075507605232,low,2.12048699422387
REP.B001_PC3_24H:I18,BRD-K28731095,PC3,0.172192,163,0.1779,0.00949668,uM,24.0,h,False,False,True,True,-2.0224281957305514,low,2.0994608644470927
LKCP002_A549_24H:N19,BRD-K28731095,A549,0.0867759,76,0.0969,5.0,uM,24.0,h,False,False,True,True,0.6989700043360189,high,1.5506543272725122
LKCP002_A549_24H:N20,BRD-K28731095,A549,0.112583,113,0.1097,0.5,uM,24.0,h,False,False,True,True,-0.3010299956639812,low,1.4157937480998282
LKCP002_A549_24H:N21,BRD-K28731095,A549,0.0687606,85,0.0544,0.05,uM,24.0,h,False,False,True,True,-1.3010299956639813,low,2.103028828404466
