"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","regulation of signaling","GO:0023051","false","0.008132709256212374","2.089764753419713","3478","107","37","21026","DDIT4,NFKBIA,NPC1,HES1,FKBP1A,SV2C,SPP1,MAP3K4,FHL2,CCL2,AKT1,CBS,PCK2,ANO1,GDF15,USP18,TSC1,RHOD,AKR1C2,BAD,LYN,CTSL,MCC,HIF1A,AGR2,CDC42,NCK1,GNAI2,STK3,ZC3HAV1,APOD,UFM1,PWP1,RUNDC3A,SASH1,GJA1,FBXO7"
"GO:BP","regulation of cell communication","GO:0010646","false","0.00859216338022002","2.0658974734446365","3486","107","37","21026","DDIT4,NFKBIA,NPC1,HES1,FKBP1A,SV2C,SPP1,MAP3K4,FHL2,CCL2,AKT1,CBS,PCK2,ANO1,GDF15,USP18,TSC1,RHOD,AKR1C2,BAD,LYN,CTSL,MCC,HIF1A,AGR2,CDC42,NCK1,GNAI2,STK3,ZC3HAV1,APOD,UFM1,PWP1,RUNDC3A,SASH1,GJA1,FBXO7"
"GO:BP","response to stimulus","GO:0050896","false","0.009277076873598114","2.0325888446484965","8999","107","69","21026","DDIT4,NFKBIA,NPC1,CLIC4,PAPSS2,HES1,FKBP1A,ADGRE5,SPP1,MAP3K4,AGL,MT1H,TSC22D3,FHL2,CCL2,CYCS,CASP7,CCDC92,AKT1,CBS,TXNIP,PCK2,ANO1,GDF15,CSRP1,USP18,RRM1,AKR1C1,TSC1,RHOD,AKR1C2,BAD,LYN,ABCA2,CTSL,TNK2,MCC,HIF1A,AGR2,CDC42,NCK1,GNAI2,STK3,SLC37A4,IFIH1,TYMS,FEZ1,ZC3HAV1,APOD,DROSHA,SDF2L1,FBXW4,TPMT,STMN2,SERPINB9,UFM1,ITGB5,PWP1,RUNDC3A,EIF4EBP1,RAB11FIP2,SASH1,DDX47,GJA1,PIK3CD,SRSF6,NPPB,FBXO7,IL15"
"GO:BP","response to nitrogen compound","GO:1901698","false","0.01566845543527779","1.8049738132951347","1080","107","18","21026","NFKBIA,NPC1,HES1,CASP7,AKT1,CBS,TXNIP,PCK2,GDF15,TSC1,LYN,NCK1,GNAI2,IFIH1,TYMS,SDF2L1,GJA1,SRSF6"
"GO:BP","T cell activation","GO:0042110","true","0.01579633515305739","1.8014436603508344","582","107","13","21026","HES1,FKBP1A,CCL2,AKT1,TSC1,BAD,LYN,CTSL,NCK1,DROSHA,GJA1,PIK3CD,IL15"
"GO:BP","anatomical structure formation involved in morphogenesis","GO:0048646","false","0.017422782553390217","1.7588824835947958","1199","107","19","21026","CLIC4,HES1,FKBP1A,FHL2,CCL2,AKT1,GDF15,CSRP1,TSC1,ABCA2,HIF1A,CDC42,STK3,APOD,ITGB5,SASH1,GJA1,PIK3CD,NPPB"
"GO:BP","regulation of signal transduction","GO:0009966","false","0.021355583425766808","1.6704885593282368","3034","107","33","21026","DDIT4,NFKBIA,NPC1,HES1,FKBP1A,MAP3K4,FHL2,CCL2,AKT1,CBS,GDF15,USP18,TSC1,RHOD,AKR1C2,BAD,LYN,CTSL,MCC,HIF1A,AGR2,CDC42,NCK1,GNAI2,STK3,ZC3HAV1,APOD,UFM1,PWP1,RUNDC3A,SASH1,GJA1,FBXO7"
"GO:BP","localization","GO:0051179","false","0.02332829691385718","1.6321169657888526","5555","107","49","21026","NFKBIA,KIF20A,NPC1,CLIC4,HES1,FKBP1A,SV2C,SPP1,COG7,CCL2,MFSD10,AKT1,MAIP1,TXNIP,PCK2,ANO1,AKR1C1,TSC1,MYH10,FXYD7,BAD,DNM3,LYN,ABCA2,CTSL,TNK2,MCC,HIF1A,AGR2,CDC42,GNAI2,STK3,SLC37A4,FEZ1,KPNA2,APOD,SLC25A44,UFM1,CABYR,RAB11FIP2,SLC20A2,GJA1,SLC35F2,PIK3CD,SLC1A4,NPPB,FBXO7,XK,IL15"
"GO:BP","positive regulation of biological process","GO:0048518","false","0.026332713397874404","1.5795043876463655","6264","107","53","21026","NFKBIA,HES1,FKBP1A,SPP1,MAP3K4,SSBP2,CCL2,CASP7,AKT1,TXNIP,PCK2,ANO1,GDF15,RRM1,AKR1C1,TSC1,MYH10,RHOD,AKR1C2,BAD,DNM3,LYN,ABCA2,CTSL,TNK2,HIF1A,AGR2,CDC42,NCK1,GNAI2,STK3,IFIH1,FEZ1,ZC3HAV1,KPNA2,COQ7,DROSHA,FBXW4,STMN2,RFX5,PWP1,COLGALT1,RUNDC3A,EIF4EBP1,RAB11FIP2,SASH1,SLC20A2,GJA1,PIK3CD,SRSF6,NPPB,FBXO7,IL15"
"GO:BP","positive regulation of cellular process","GO:0048522","false","0.02656051541141371","1.5757635016624147","5920","107","51","21026","NFKBIA,HES1,FKBP1A,SPP1,MAP3K4,SSBP2,CCL2,CASP7,AKT1,TXNIP,PCK2,ANO1,GDF15,RRM1,AKR1C1,TSC1,MYH10,RHOD,AKR1C2,BAD,DNM3,LYN,ABCA2,CTSL,TNK2,HIF1A,AGR2,CDC42,NCK1,GNAI2,STK3,IFIH1,FEZ1,ZC3HAV1,KPNA2,COQ7,DROSHA,FBXW4,STMN2,RFX5,PWP1,COLGALT1,RUNDC3A,EIF4EBP1,RAB11FIP2,SASH1,GJA1,PIK3CD,SRSF6,FBXO7,IL15"
