sig_id,pert_id,cell_id,tas,ss_ngene,distil_cc_q75,pert_dose,pert_dose_unit,pert_time,pert_time_unit,is_exemplar_sig,is_null_sig,is_ncs_sig,qc_pass,dose_bin,core_score
MUC.CP008_HA1E_24H:H24,BRD-K81332461,HA1E,0.267916,234,0.3,0.0205761,uM,24.0,h,False,False,True,True,low,-0.4818070294090525
MUC.CP008_MCF7_24H:F07,BRD-K28731095,MCF7,0.327537,244,0.43,10.0,uM,24.0,h,True,False,True,True,high,0.6716190971701236
MUC.CP008_MCF7_24H:F09,BRD-K28731095,MCF7,0.177116,118,0.26,1.11111,uM,24.0,h,False,False,True,True,high,-0.01131859417346244
MUC.CP008_MCF7_24H:F10,BRD-K28731095,MCF7,0.185464,116,0.29,0.37037,uM,24.0,h,False,False,True,True,low,-0.24916371559871292
MUC.CP008_MCF7_24H:F11,BRD-K28731095,MCF7,0.147647,82,0.26,0.123457,uM,24.0,h,False,False,True,True,low,-0.2091696667473584
MUC.CP008_MCF7_24H:F12,BRD-K28731095,MCF7,0.137462,77,0.24,0.0411523,uM,24.0,h,False,False,True,True,low,-0.36758049655414216
LKCP001_A549_24H:F08,BRD-K84163249,A549,0.0969599,72,0.1277,1.0,uM,24.0,h,False,False,True,True,high,-0.4649341728985362
MUC.CP008_HA1E_24H:F08,BRD-K28731095,HA1E,0.0841777,63,0.11,3.33333,uM,24.0,h,False,False,True,True,high,-0.318126753961822
MUC.CP008_HA1E_24H:F09,BRD-K28731095,HA1E,0.167717,131,0.21,1.11111,uM,24.0,h,False,False,True,True,high,-0.06806360548944604
MUC.CP008_HA1E_24H:F10,BRD-K28731095,HA1E,0.105085,60,0.18,0.37037,uM,24.0,h,False,False,True,True,low,-0.6060636717884698
MUC.CP008_HA1E_24H:F11,BRD-K28731095,HA1E,0.0813988,81,0.08,0.123457,uM,24.0,h,False,False,True,True,low,0.11308074319817928
MUC.CP008_HA1E_24H:F12,BRD-K28731095,HA1E,0.071787,63,0.08,0.0411523,uM,24.0,h,False,False,True,True,low,-0.1928282727617155
MUC.CP008_HA1E_24H:H20,BRD-K81332461,HA1E,0.0682082,65,0.07,1.66667,uM,24.0,h,False,False,True,True,high,-0.3320878474980292
MUC.CP008_HA1E_24H:H21,BRD-K81332461,HA1E,0.113415,74,0.17,0.555556,uM,24.0,h,False,False,True,True,low,-0.2402741621347108
