term,ES,pval,set_size,leading_edge_frac,fdr_bh
REACTOME_CHROMATIN_ORGANIZATION,0.2780354638642447,0.0024937655860349127,191,0.36649214659685864,0.031547636931766966
REACTOME_CELL_CYCLE_CHECKPOINTS,0.27586289303242095,0.0024937655860349127,216,0.2962962962962963,0.031547636931766966
REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,0.2696632456609517,0.0024937655860349127,90,0.2777777777777778,0.031547636931766966
REACTOME_DRUG_ADME,0.26328917722069467,0.0024937655860349127,78,0.2692307692307692,0.031547636931766966
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,0.25719871266871913,0.0024937655860349127,110,0.21818181818181817,0.031547636931766966
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,0.2506914692555909,0.0024937655860349127,110,0.22727272727272727,0.031547636931766966
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,0.2468051674940631,0.0024937655860349127,308,0.17857142857142858,0.031547636931766966
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,0.24183766645403065,0.0024937655860349127,79,0.06329113924050633,0.031547636931766966
REACTOME_CELL_CYCLE_MITOTIC,0.2395777849585149,0.0024937655860349127,434,0.2350230414746544,0.031547636931766966
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,0.2296668643755787,0.0024937655860349127,203,0.3251231527093596,0.031547636931766966
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,0.22572199186689135,0.0024937655860349127,111,0.06306306306306306,0.031547636931766966
REACTOME_PROTEIN_LOCALIZATION,0.22442351142165687,0.0024937655860349127,134,0.1417910447761194,0.031547636931766966
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,0.22417207704191325,0.0024937655860349127,112,0.10714285714285714,0.031547636931766966
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0.2232073768189467,0.0024937655860349127,294,0.16326530612244897,0.031547636931766966
REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES,0.21309533434119315,0.0024937655860349127,246,0.1991869918699187,0.031547636931766966
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,0.2080351256095477,0.0024937655860349127,145,0.16551724137931034,0.031547636931766966
REACTOME_SIGNALING_BY_NOTCH,0.18900229999949428,0.0024937655860349127,152,0.15789473684210525,0.031547636931766966
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,0.18074870934496398,0.0024937655860349127,182,0.14285714285714285,0.031547636931766966
REACTOME_LEISHMANIA_INFECTION,0.17785761674033032,0.0024937655860349127,147,0.047619047619047616,0.031547636931766966
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,0.17578128317007022,0.0024937655860349127,234,0.07264957264957266,0.031547636931766966
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,0.17126324682558883,0.0024937655860349127,483,0.13664596273291926,0.031547636931766966
