sig_id,compound_id,compound_name,cell_line,dose,dose_unit,time,time_unit,tas,cc_q75,ss_ngene,qc_pass,PCA1,PCA2,UMAP1,UMAP2,cluster
REP.A014_HA1E_24H:H22,BRD-K60585088,paricalcitol,HA1E,0.37037,uM,24.0,h,0.116549,0.1527,87,1,-10.58146277875923,-4.191870309009613,10.923366,18.388271,1
REP.A021_MCF7_24H:D05,BRD-K81332461,maxacalcitol,MCF7,0.123457,uM,24.0,h,0.1347,0.105,169,1,-1.7298029145925853,9.727725870525807,10.567091,18.099274,1
REP.A009_HA1E_24H:D03,BRD-K28456624,seocalcitol,HA1E,1.11111,uM,24.0,h,0.114083,0.2053,62,0,2.7520587123480076,-20.416602539631917,9.90796,17.537693,1
REP.A014_PC3_24H:H23,BRD-K60585088,paricalcitol,PC3,0.123457,uM,24.0,h,0.350481,0.4433,271,1,-0.8998764519997082,52.51061828840989,12.46992,17.025871,0
REP.A021_PC3_24H:D06,BRD-K81332461,maxacalcitol,PC3,0.0411523,uM,24.0,h,0.197113,0.2317,164,1,60.948802208352696,22.91441345709705,11.729206,15.778889,2
REP.A001_MCF7_24H:I14,BRD-K28731095,calcitriol,MCF7,3.33333,uM,24.0,h,0.263023,0.3452,196,0,-53.58777937296511,0.7707958865926369,9.710927,19.426842,3
REP.A014_HA1E_24H:H19,BRD-K60585088,paricalcitol,HA1E,10.0,uM,24.0,h,0.196549,0.2276,166,1,12.62035791537658,1.916299425959764,10.928688,16.962318,1
REP.A022_MCF7_24H:L01,BRD-K73237276,tacalcitol,MCF7,10.0,uM,24.0,h,0.327582,0.4485,234,1,27.240814969024907,-8.714794764334727,10.601266,16.388313,1
REP.B001_HA1E_24H:I15,BRD-K28731095,calcitriol,HA1E,0.25641,uM,24.0,h,0.0952555,0.0986,90,1,-15.36568911048654,-6.7998243361138915,10.142015,18.13696,1
REP.A009_PC3_24H:D05,BRD-K28456624,seocalcitol,PC3,0.123457,uM,24.0,h,0.376078,0.5988,231,0,-51.28198260302912,44.122202434027166,12.042293,18.96921,0
REP.A001_HA1E_24H:I15,BRD-K28731095,calcitriol,HA1E,1.11111,uM,24.0,h,0.258382,0.3473,188,1,-75.52090712343899,6.803221822187202,10.7121315,19.605589,3
REP.A001_PC3_24H:I14,BRD-K28731095,calcitriol,PC3,3.33333,uM,24.0,h,0.4075,0.5639,288,1,5.354680478772641,74.9881701453715,12.72673,16.565014,4
REP.A021_PC3_24H:J23,BRD-K84163249,ercalcitriol,PC3,0.123457,uM,24.0,h,0.258835,0.3681,178,1,-11.423613082562078,39.583604476254514,12.215546,17.598227,0
REP.A021_A549_24H:J22,BRD-K84163249,ercalcitriol,A549,0.37037,uM,24.0,h,0.176122,0.1631,186,1,89.31425192701607,-19.156150300166914,10.761252,15.562192,2
REP.B001_HA1E_24H:I14,BRD-K28731095,calcitriol,HA1E,0.769231,uM,24.0,h,0.132693,0.1435,120,1,20.28155003222162,-4.3992100201003925,10.42376,17.180027,1
REP.A021_HA1E_24H:D01,BRD-K81332461,maxacalcitol,HA1E,10.0,uM,24.0,h,0.398818,0.4522,344,1,145.3036724527344,-27.214866064491186,11.183984,14.966375,2
REP.A009_PC3_24H:D02,BRD-K28456624,seocalcitol,PC3,3.33333,uM,24.0,h,0.323963,0.3564,288,0,-37.78180126182612,49.93461132213607,12.199723,19.009617,0
REP.A022_MCF7_24H:L06,BRD-K73237276,tacalcitol,MCF7,0.0411523,uM,24.0,h,0.153099,0.2413,95,1,-31.31804888307411,-6.320870619585567,10.354918,19.03609,3
REP.A021_A549_24H:D04,BRD-K81332461,maxacalcitol,A549,0.37037,uM,24.0,h,0.107966,0.0717,159,0,-1.1877193866087146,-21.016532387557813,9.725018,17.230537,1
REP.A014_MCF7_24H:H20,BRD-K60585088,paricalcitol,MCF7,3.33333,uM,24.0,h,0.153295,0.1728,133,1,-2.205393618599347,-0.6062936873723798,11.071189,17.74374,1
REP.A022_A549_24H:L05,BRD-K73237276,tacalcitol,A549,0.123457,uM,24.0,h,0.136206,0.1512,120,1,-9.117356474874187,-8.853581555886361,11.128469,17.90916,1
REP.A021_A549_24H:J21,BRD-K84163249,ercalcitriol,A549,1.11111,uM,24.0,h,0.165096,0.2185,122,1,-49.04983315504619,-13.374209731497704,10.860165,19.218529,3
REP.A021_HA1E_24H:D06,BRD-K81332461,maxacalcitol,HA1E,0.0411523,uM,24.0,h,0.0875274,0.0925,81,1,10.17951904178386,-11.39753684472136,10.456129,17.438923,1
REP.A021_PC3_24H:J22,BRD-K84163249,ercalcitriol,PC3,0.37037,uM,24.0,h,0.324371,0.4183,246,1,40.64862204877915,37.13353513335346,12.288039,16.351542,4
REP.A014_MCF7_24H:H19,BRD-K60585088,paricalcitol,MCF7,10.0,uM,24.0,h,0.287567,0.3926,206,1,-45.461236671431436,1.4330826409175699,9.467419,18.99337,3
REP.A021_PC3_24H:J21,BRD-K84163249,ercalcitriol,PC3,1.11111,uM,24.0,h,0.337025,0.4648,239,1,58.695614155299495,37.66019448410435,12.12594,16.169895,4
REP.A021_PC3_24H:J24,BRD-K84163249,ercalcitriol,PC3,0.0411523,uM,24.0,h,0.214572,0.2982,151,1,-2.5125798068471283,26.65848301479288,11.844661,17.772198,0
