sig_id,pert_id,cell_id,tas,ss_ngene,distil_cc_q75,dose,pert_dose_unit,pert_time,pert_time_unit,is_exemplar_sig,is_null_sig,is_ncs_sig,qc_pass,log_dose,dose_bin,core_score
REP.A001_HA1E_24H:I15,BRD-K28731095,HA1E,0.258382,188,0.3473,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,high,2.5447357854762465
REP.A021_PC3_24H:J20,BRD-K84163249,PC3,0.35266,241,0.5047,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,3.4569286002552158
REP.A021_PC3_24H:J21,BRD-K84163249,PC3,0.337025,239,0.4648,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,low,2.99619348349115
REP.A021_PC3_24H:J22,BRD-K84163249,PC3,0.324371,246,0.4183,0.37037,uM,24.0,h,False,False,True,True,-0.4313641984536864,low,2.9276356840451325
REP.A021_PC3_24H:J23,BRD-K84163249,PC3,0.258835,178,0.3681,0.123457,uM,24.0,h,False,False,True,True,-0.908484280578658,low,3.132001686099166
REP.A021_PC3_24H:J24,BRD-K84163249,PC3,0.214572,151,0.2982,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,2.0688749604934933
REP.A022_A549_24H:L01,BRD-K73237276,A549,0.166378,175,0.1547,10.0,uM,24.0,h,False,False,True,True,1.0,high,1.7497417773814923
REP.A022_A549_24H:L02,BRD-K73237276,A549,0.174162,118,0.2514,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,1.4145269612538607
REP.A022_A549_24H:L03,BRD-K73237276,A549,0.106598,81,0.1372,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,high,1.866392431542606
REP.A021_MCF7_24H:J24,BRD-K84163249,MCF7,0.10519,81,0.1336,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,1.2371475522542132
REP.A021_PC3_24H:D01,BRD-K81332461,PC3,0.331847,250,0.4308,10.0,uM,24.0,h,False,False,True,True,1.0,high,3.7815005756184856
REP.A021_PC3_24H:D02,BRD-K81332461,PC3,0.351573,287,0.4212,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,3.4872216355876047
REP.A021_PC3_24H:D03,BRD-K81332461,PC3,0.308813,208,0.4484,1.11111,uM,24.0,h,True,False,True,True,0.04575705626597609,low,3.477804884767208
REP.A021_PC3_24H:D04,BRD-K81332461,PC3,0.329679,209,0.5086,0.37037,uM,24.0,h,False,False,True,True,-0.4313641984536864,low,2.712132582949062
REP.A021_PC3_24H:D05,BRD-K81332461,PC3,0.242477,152,0.3783,0.123457,uM,24.0,h,False,False,True,True,-0.908484280578658,low,2.0819608854319807
REP.A021_PC3_24H:D06,BRD-K81332461,PC3,0.197113,164,0.2317,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,2.1785323809394823
REP.A021_PC3_24H:J19,BRD-K84163249,PC3,0.469507,408,0.5284,10.0,uM,24.0,h,False,False,True,True,1.0,high,4.082855412795262
REP.B001_HA1E_24H:I13,BRD-K28731095,HA1E,0.137033,96,0.1913,2.30769,uM,24.0,h,False,False,True,True,0.3631774681181266,high,2.6769235989388127
REP.B001_HA1E_24H:I14,BRD-K28731095,HA1E,0.132693,120,0.1435,0.769231,uM,24.0,h,False,False,True,True,-0.11394322201851174,low,2.600618419353359
REP.B001_HA1E_24H:I15,BRD-K28731095,HA1E,0.0952555,90,0.0986,0.25641,uM,24.0,h,False,False,True,True,-0.5910650413211982,low,2.023779033869059
REP.B001_HA1E_24H:I16,BRD-K28731095,HA1E,0.120138,108,0.1307,0.0854701,uM,24.0,h,False,False,True,True,-1.068185787916106,low,2.431386898783155
REP.B001_HA1E_24H:I17,BRD-K28731095,HA1E,0.118304,80,0.1711,0.02849,uM,24.0,h,False,False,True,True,-1.5453075507605232,low,1.6723400859436777
REP.B001_HA1E_24H:I18,BRD-K28731095,HA1E,0.00833844,68,0.0,0.00949668,uM,24.0,h,False,False,False,True,-2.0224281957305514,low,1.3889762368732146
REP.B001_PC3_24H:I14,BRD-K28731095,PC3,0.31906,262,0.38,0.769231,uM,24.0,h,False,False,True,True,-0.11394322201851174,low,3.166712798085815
REP.B001_PC3_24H:I15,BRD-K28731095,PC3,0.303506,301,0.2993,0.25641,uM,24.0,h,False,False,True,True,-0.5910650413211982,low,2.977793276139903
REP.A022_MCF7_24H:L05,BRD-K73237276,MCF7,0.181638,105,0.3073,0.123457,uM,24.0,h,False,False,True,True,-0.908484280578658,low,2.3435765890107123
REP.A022_MCF7_24H:L06,BRD-K73237276,MCF7,0.153099,95,0.2413,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,1.9701945915683847
REP.A022_PC3_24H:L01,BRD-K73237276,PC3,0.38653,272,0.5372,10.0,uM,24.0,h,True,False,True,True,1.0,high,3.9262966147895124
REP.A022_PC3_24H:L02,BRD-K73237276,PC3,0.320722,191,0.5267,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,4.0865405998715305
REP.A022_PC3_24H:L03,BRD-K73237276,PC3,0.319432,210,0.4752,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,low,3.1622672317481024
REP.A022_PC3_24H:L04,BRD-K73237276,PC3,0.301612,194,0.4586,0.37037,uM,24.0,h,False,False,True,True,-0.4313641984536864,low,2.880380134907789
REP.A022_PC3_24H:L05,BRD-K73237276,PC3,0.294609,182,0.4664,0.123457,uM,24.0,h,False,False,True,True,-0.908484280578658,low,2.6705462025291267
REP.A022_PC3_24H:L06,BRD-K73237276,PC3,0.252963,144,0.4346,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,2.0449024441861914
REP.A022_A549_24H:L04,BRD-K73237276,A549,0.0663533,93,0.0463,0.37037,uM,24.0,h,False,False,True,True,-0.4313641984536864,low,1.9512994203450211
REP.A022_A549_24H:L05,BRD-K73237276,A549,0.136206,120,0.1512,0.123457,uM,24.0,h,False,False,True,True,-0.908484280578658,low,0.727157974335721
REP.A022_A549_24H:L06,BRD-K73237276,A549,0.128001,93,0.1723,0.0411523,uM,24.0,h,False,False,True,False,-1.3856058870763952,low,0.6601962701892166
REP.A022_HA1E_24H:L06,BRD-K73237276,HA1E,0.136131,92,0.197,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,2.1319728895768146
REP.A022_MCF7_24H:L01,BRD-K73237276,MCF7,0.327582,234,0.4485,10.0,uM,24.0,h,False,False,True,True,1.0,high,3.7912157416541534
REP.A022_MCF7_24H:L02,BRD-K73237276,MCF7,0.207615,131,0.3218,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,2.429833331905755
REP.A022_MCF7_24H:L03,BRD-K73237276,MCF7,0.192504,109,0.3325,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,high,2.617998955977775
REP.A022_MCF7_24H:L04,BRD-K73237276,MCF7,0.178142,121,0.2565,0.37037,uM,24.0,h,False,False,True,True,-0.4313641984536864,low,2.2415623266756066
REP.A001_PC3_24H:I13,BRD-K28731095,PC3,0.424304,303,0.5811,10.0,uM,24.0,h,False,False,True,True,1.0,high,3.7656679271681237
REP.A001_PC3_24H:I14,BRD-K28731095,PC3,0.4075,288,0.5639,3.33333,uM,24.0,h,True,False,True,True,0.5228783109856385,high,3.1611957460476865
REP.A001_PC3_24H:I15,BRD-K28731095,PC3,0.344568,283,0.4103,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,low,3.0108393467295387
REP.A001_PC3_24H:I16,BRD-K28731095,PC3,0.348696,257,0.4627,0.37037,uM,24.0,h,False,False,True,True,-0.4313641984536864,low,3.1805391635278477
REP.A001_PC3_24H:I17,BRD-K28731095,PC3,0.285659,235,0.3396,0.123457,uM,24.0,h,False,False,True,True,-0.908484280578658,low,2.175071725997879
REP.A001_PC3_24H:I18,BRD-K28731095,PC3,0.242559,194,0.2966,0.0411523,uM,24.0,h,False,False,True,True,-1.3856058870763952,low,2.5283727581271105
REP.A009_A549_24H:D01,BRD-K28456624,A549,0.219239,185,0.2541,10.0,uM,24.0,h,False,False,True,True,1.0,high,2.0896996435578923
REP.A009_A549_24H:D02,BRD-K28456624,A549,0.128233,85,0.1892,3.33333,uM,24.0,h,False,False,True,True,0.5228783109856385,high,1.6807867682948623
MUC.CP008_HA1E_24H:H23,BRD-K81332461,HA1E,0.114134,98,0.13,0.0617284,uM,24.0,h,False,False,True,True,-1.2095149797990739,low,1.440798248334311
